Region,lower,upper,median,first_quartile,third_quartile,IQR,lower_limit,upper_limit,outliers
East Midlands,9000,10500,9398,9199,9920,721,8117.5,11001.5,7650
East of England,8320,9415,9415,9415,9415,0,9415,9415,7500
East of England,8320,9415,9415,9415,9415,0,9415,9415,12000
London,8000,12000,10229,9500,10582.25,1082.25,7876.625,12205.625,7000
London,8000,12000,10229,9500,10582.25,1082.25,7876.625,12205.625,15000
North East England,8000,8000,8000,8000,8000,0,8000,8000,0
North West England,7000,8500,7471,7235.5,7750,514.5,6463.75,8521.75,5500
North West England,7000,8500,7471,7235.5,7750,514.5,6463.75,8521.75,6000
North West England,7000,8500,7471,7235.5,7750,514.5,6463.75,8521.75,9800
Northern Ireland,6000,6000,6000,6000,6000,0,6000,6000,0
Scotland,6500,9000,8000,7125,8000,875,5812.5,9312.5,12000
South East England,7200,10700,8990,8000,8990,990,6515,10475,6500
South East England,7200,10700,8990,8000,8990,990,6515,10475,11500
South East England,7200,10700,8990,8000,8990,990,6515,10475,12500
South West England,8217,8400,8217,8037.75,8262.75,225,7700.25,8600.25,6000
South West England,8217,8400,8217,8037.75,8262.75,225,7700.25,8600.25,7000
South West England,8217,8400,8217,8037.75,8262.75,225,7700.25,8600.25,7500
South West England,8217,8400,8217,8037.75,8262.75,225,7700.25,8600.25,9400
South West England,8217,8400,8217,8037.75,8262.75,225,7700.25,8600.25,11000
Wales,7500,7771,7771,7500,7771,271,7093.5,8177.5,6000
Wales,7500,7771,7771,7500,7771,271,7093.5,8177.5,10084
West Midlands,8000,9580,8097,8024.25,8774.25,750,6899.25,9899.25,6000
West Midlands,8000,9580,8097,8024.25,8774.25,750,6899.25,9899.25,10000
Yorkshire and the Humber,7000,8400,8270,7750,8270,520,6970,9050,11789
