University_name,Origin,State,Cylinders
University of Oxford,South East England,England,Female
University of Cambridge,East of England,England,Female
Imperial College London,London,England,Female
University College London,London,England,Female
London School of Economics and Political Science,London,England,Female
University of Edinburgh,Scotland,Scotland,Female
King's College London,London,England,Female
University of Manchester,North West England,England,Female
University of Warwick,West Midlands,England,Female
University of Glasgow,Scotland,Scotland,Male
University of Bristol,South West England,England,Male
University of Birmingham,West Midlands,England,Male
University of Sheffield,Yorkshire and the Humber,England,Male
Queen Mary University of London,London,England,Male
Lancaster University,North West England,England,Male
University of Southampton,South East England,England,Male
University of Leeds,Yorkshire and the Humber,England,Male
University of Nottingham,East Midlands,England,Male
University of Exeter,South West England,England,Male
Newcastle University,North East England,England,Male
University of Sussex,South East England,England,Male
University of Aberdeen,Scotland,Scotland,Male
Durham University,North East England,England,Male
University of York,Yorkshire and the Humber,England,Male
University of Liverpool,North West England,England,Male
University of East Anglia UEA,East of England,England,Male
University of Leicester,East Midlands,England,Male
Cardiff University,Wales,Wales,Male
University of Bath,South West England,England,Male
University of Dundee,Scotland,Scotland,Female
Queen's University Belfast,Northern Ireland,Northern Ireland,Female
University of Reading,South East England,England,Female
St George's University of London,London,England,Female
University of St Andrews,Scotland,Scotland,Female
University of Surrey,South East England,England,Female
Swansea University,Wales,Wales,Female
Anglia Ruskin University,East of England,England,Female
University of Essex,East of England,England,Female
University of Stirling,Scotland,Scotland,Female
Bournemouth University,South West England,England,Female
Brunel University London,London,England,Female
"City, University of London",London,England,Female
University of Kent,South East England,England,Female
Loughborough University,East Midlands,England,Female
"Royal Holloway, University of London",South East England,England,Female
Aston University,West Midlands,England,Female
Bangor University,Wales,Wales,Female
"Goldsmiths, University of London",London,England,Female
Liverpool John Moores University,North West England,England,Male
Middlesex University,London,England,Male
Northumbria University,North East England,England,Male
Plymouth University,South West England,England,Male
"SOAS, University of London",London,England,Male
University of Strathclyde,Scotland,Scotland,Male
University of the Arts London,London,England,Male
University of the West of England,South West England,England,Male
Aberystwyth University,Wales,Wales,Male
Birmingham City University,West Midlands,England,Male
Edinburgh Napier University,Scotland,Scotland,Male
Heriot-Watt University,Scotland,Scotland,Male
Keele University,West Midlands,England,Male
University of Lincoln,East of England,England,Male
Nottingham Trent University,East Midlands,England,Male
University of Portsmouth,South East England,England,Male
University of the West of Scotland,Scotland,Scotland,Male
University of Bradford,Yorkshire and the Humber,England,Male
University of Brighton,South East England,England,Male
Coventry University,West Midlands,England,Male
De Montfort University,East Midlands,England,Male
University of Derby,East Midlands,England,Male
Glasgow Caledonian University,Scotland,Scotland,Male
University of Greenwich,London,England,Male
University of Hertfordshire,East of England,England,Male
University of Huddersfield,Yorkshire and the Humber,England,Male
University of Hull,Yorkshire and the Humber,England,Male
Manchester Metropolitan University,North West England,England,Male
Oxford Brookes University,South East England,England,Male
University of Ulster,Northern Ireland,Northern Ireland,Male
University of Bedfordshire,East of England,England,Male
University of Central Lancashire,North West England,England,Male
University of East London,London,England,Male
Edge Hill University,North East England,England,Male
Kingston University,London,England,Male
Leeds Beckett University,Yorkshire and the Humber,England,Male
London South Bank University,London,England,Male
University of Roehampton,London,England,Male
University of Salford,North West England,England,Male
Sheffield Hallam University,Yorkshire and the Humber,England,Male
University of Westminster,London,England,Male
Canterbury Christ Church University,South East England,England,Male
Cardiff Metropolitan University,Wales,Wales,Male
Robert Gordon University,Scotland,Scotland,Male
University of South Wales,Wales,Wales,Male
Staffordshire University,West Midlands,England,Male
Teesside University,North East England,England,Male
University of Wolverhampton,West Midlands,England,Male
University of Chester,North West England,England,Male
Abertay University,Scotland,Scotland,Male
Arts University Bournemouth,South West England,England,Male
University for the Creative Arts,South East England,England,Male
Bath Spa University,South West England,England,Male
Bishop Grosseteste University,East of England,England,Male
University of Bolton,North West England,England,Female
University of Buckingham,South East England,England,Female
Buckinghamshire New University,South East England,England,Female
University of Chichester,South East England,England,Female
University of Cumbria,North West England,England,Female
Falmouth University,South West England,England,Female
University of Gloucestershire,South West England,England,Female
Harper Adams University,Wales,Wales,Female
Leeds Arts University,Yorkshire and the Humber,England,Female
Leeds Trinity University,Yorkshire and the Humber,England,Female
Liverpool Hope University,North West England,England,Male
London Metropolitan University,London,England,Male
Newman University,West Midlands,England,Male
University of Northampton,East Midlands,England,Male
Norwich University of the Arts,East of England,England,Male
Queen Margaret University,Scotland,Scotland,Male
Plymouth Marjon University,South West England,England,Male
Ravensbourne University London,London,England,Male
Royal Agricultural University,South West England,England,Male
Solent University,South East England,England,Male
"St Mary's University, Twickenham",London,England,Male
University of Suffolk,East of England,England,Male
University of Sunderland,North East England,England,Male
University of Wales Trinity Saint David,Wales,Wales,Female
University of West London,London,England,Female
University of Winchester,South East England,England,Female
University of Worcester,West Midlands,England,Female
Wrexham Glyndwr University,Wales,Wales,Female
York St John University,Yorkshire and the Humber,England,Female
